(答(2),1,在業餘無線電通訊中，使用「Q 碼」的主要目的是什麼？,(1) 作為祕密通訊,(2) 縮短通訊時間並克服語言障礙,(3) 測試機器性能,(4) 增加通訊樂趣
(3),2,Q 碼「QTH」代表什麼意義？,(1) 你的電臺位置在哪裡？,(2) 我現在正忙碌中,(3) 我的位置在…,(4) 請更換頻率
(1),3,當你想詢問對方「你的姓名為何？」時，應使用哪個 Q 碼？,(1) QRZ?,(2) QSL?,(3) QTH?,(4) QRM?
(4),4,Q 碼「QSL」在通訊中的含義為何？,(1) 我有干擾,(2) 你的訊號很強,(3) 請重複一次,(4) 我確認收到（或請給予確認）
(2),5,在通訊時，若受到其他電臺的干擾，應使用哪個 Q 碼？,(1) QRN,(2) QRM,(3) QRP,(4) QRS
(1),6,Q 碼「QRN」代表什麼樣的干擾？,(1) 天電或自然雜訊干擾,(2) 人為機器干擾,(3) 鄰頻干擾,(4) 語音干擾
(3),7,當你需要對方「減慢發報速度」時，應使用哪個 Q 碼？,(1) QRP,(2) QRL,(3) QRS,(4) QRV
(2),8,Q 碼「QRP」代表什麼意義？,(1) 增加電力,(2) 降低發射功率,(3) 準備通訊,(4) 停止通訊
(4),9,當對方問你「QRV?」時，他的意思是？,(1) 你的頻率偏移了,(2) 你的聲音很小,(3) 你可以降低功率嗎？,(4) 你準備好了嗎？
(1),10,在語音通訊中，代表數字「0」的國際民航組織 (ICAO) 拼音字元為何？,(1) Zero,(2) Nadazero,(3) Nada,(4) Oh
(3),11,在國際通訊拼音字母中，字母「A」的讀法為何？,(1) Able,(2) Apple,(3) Alpha,(4) Alice
(2),12,字母「B」在國際通訊拼音字母中的讀法為何？,(1) Blue,(2) Bravo,(3) Baker,(4) Boy
(4),13,字母「C」在國際通訊拼音字母中的讀法為何？,(1) Cat,(2) Center,(3) China,(4) Charlie
(1),14,字母「D」在國際通訊拼音字母中的讀法為何？,(1) Delta,(2) Dog,(3) David,(4) Date
(3),15,字母「R」在國際通訊拼音字母中的讀法為何？,(1) Roger,(2) Radio,(3) Romeo,(4) Robert
(2),16,字母「S」在國際通訊拼音字母中的讀法為何？,(1) Sugar,(2) Sierra,(3) Seven,(4) Sun
(4),17,字母「V」在國際通訊拼音字母中的讀法為何？,(1) Victory,(2) Video,(3) Violet,(4) Victor
(1),18,字母「Z」在國際通訊拼音字母中的讀法為何？,(1) Zulu,(2) Zebra,(3) Zero,(4) Zoo
(2),19,在摩爾斯電碼通訊中，英文字母「A」的組成方式為何？,(1) 噠滴,(2) 滴噠,(3) 滴滴噠,(4) 噠噠滴
(4),20,摩爾斯電碼中，哪一個字母只有一個「滴 (Dit)」？,(1) T,(2) A,(3) I,(4) E
(1),21,摩爾斯電碼中，哪一個字母只有一個「噠 (Dah)」？,(1) T,(2) M,(3) E,(4) O
(3),22,在摩爾斯電碼中，「SOS」的組成訊號為何？,(1) 噠噠噠 滴滴滴 噠噠噠,(2) 滴滴 噠噠 滴滴,(3) 滴滴滴 噠噠噠 滴滴滴,(4) 噠滴噠 滴噠滴 噠滴噠
(2),23,通訊紀錄中的「RST」指標，「R」代表什麼？,(1) 頻率 (Range),(2) 可辨識度 (Readability),(3) 距離 (Remote),(4) 穩定度 (Reliability)
(4),24,通訊紀錄中的「RST」指標，「S」代表什麼？,(1) 速度 (Speed),(2) 穩定度 (Stability),(3) 距離 (Space),(4) 訊號強度 (Signal Strength)
(1),25,通訊紀錄中的「RST」指標，「T」代表什麼？,(1) 音質 (Tone),(2) 時間 (Time),(3) 溫度 (Temperature),(4) 發射 (Transmit)
(3),26,RST 報告中，「R」的評等範圍是多少？,(1) 1 到 9,(2) 1 到 3,(3) 1 到 5,(4) 0 到 10
(4),27,RST 報告中，「S」的評等範圍是多少？,(1) 1 到 5,(2) 0 到 5,(3) 1 到 10,(4) 1 到 9
(2),28,一份完美的語音通訊 RST 報告通常會說是？,(1) 999,(2) 59,(3) 599,(4) 11
(3),29,在摩爾斯電碼 (CW) 通訊中，一份完美的 RST 報告是？,(1) 59,(2) 555,(3) 599,(4) 99
