(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(3),1,下列何者是符合NCC關於妨害性干擾的定義?,(1) 干擾使用者中繼臺之無線電傳輸,(2) 不必要的無線電傳輸對於無線電臺內設備造成財產損害,(3) 嚴重降低、阻礙或重覆性中斷操作於符合法規電臺的無線電通訊服務,(4) 暴風雨所產生的靜電
(4),2,"下列何者應受到保護,免於受業餘無線電的訊號干擾?",(1) 市民無線電,(2) 廣播電視,(3) 行動電話,(4) 無線電導航
(2),3,何時允許有意的干擾其他業餘電臺?,(1) 只有在其他友台發表極端的宗教或政治看法時,(2) 任何時候都不可以,(3) 僅只於比賽時,"(4) 任何時候,業餘電臺都不受到有意的干擾的保護"
(1),4,"當你正在操作70公分波段,干擾到無線電定位電臺時,你應採取什麼措施?",(1) 停止操作並採取行動消除任何有害的干擾,"(2) 無動於衷,因為這個波段是專門保留給業餘無線電的",(3) 連絡上該定位電臺並要求他們改變頻率,"(4) 改成電報模式,因為這樣比較不會造成干擾"
(1),5,甚麼會導致你的FM訊號干擾鄰近頻率的電臺?,(1) 麥克風的增益過強導致過度偏移,(2) SWR太高,(3) 不正確的CTCSS音頻,(4) 以上皆是
(1),6,下列何者適用於兩個電臺在同一頻率發射時互相干擾的情況?,"(1) 應該遵循日常的禮儀,但是沒有電臺有絕對的優先","(2) 誰有最強的訊,號誰就優先",(3) 待在頻率上越久的電臺就有優先權,(4) 訊號微弱的電臺有優先權
(1),7,下列何種Q信號代表你正受到其他電臺的干擾,(1) QRM,(2) QRN,(3) QTH,(4) QSB
(3),8,以下哪一項可降低接收機受到的點火干擾?,(1) 稍微將頻率變動一下,(2) 減少制躁設定,(3) 把噪音消除器打開,(4) 使用RIT控制
(3),9,"為了將SSB接收作業的噪音及干擾極小化,下面哪一項是較為適用的接收濾波器頻寬選項?",(1) 500 赫,(2) 1000 赫,(3) 2400 赫,(4) 5000 赫
(1),10,"為了將CW接收作業的噪音及干擾極小化,下面哪一項是較為適用的接收濾波器頻寬選項?",(1) 500 赫,(2) 1000 赫,(3) 2400 赫,(4) 5000 赫
(4),11,以下哪項可能是射頻干擾的原因?,(1) 基本超載,(2) 諧波,(3) 混附發射,(4) 以上皆是
(4),12,以下哪一項是減少或消除業餘發射機對附近電話的干擾的方法?,(1) 濾波器裝在發射機上,(2) 降低麥克風增益,(3) 減少發射機發射的駐波比,(4) 在電話機裝一個射頻濾波器
(1),13,如何減少或消除業餘無線電信號對非業餘無線電或電視機造成的過載?,(1) 在受影響的接收機天線輸入端用濾波器阻擋業餘信號,(2) 用業餘發射機上的濾波器阻止干擾信號,(3) 將發射機從FM模式切換到SSB模式,(4) 將發射機切換到窄頻模式
(1),14,"如果鄰居告訴您,您的電臺的操作正在干擾他們的收音機或電視,您應採取以下哪種行動?","(1) 確保您的電臺工作正常情形下,不會對調諧到同一頻道的你的收音機或電視機造成干擾",(2) 立即關閉發射機並聯繫離您最近的NCC辦事處尋求幫助,(3) 告訴他們您的許可證授予您操作權並且無法做任何改變來減少干擾,"(4) 在發射機的輸出端安裝一個諧波倍增器並對其進行調諧,直至消除干擾"
(4),15,以下哪項可能有助於修正射頻干擾問題?,(1) 咬合鐵氧體扼流圈,(2) 低通和高通濾波器,(3) 帶阻濾波器和帶通濾波器,(4) 以上皆是
(4),16,"如果鄰居家裡的東西對你的業餘電臺造成妨害性干擾,你應該怎麼做?",(1) 和你的鄰居一起確定造成的設備,(2) 有禮貌地通知您的鄰居不要使用導致干擾的設備的相關規定,"(3) 檢查你的電臺設備,並確保它符合良好的業餘準則標準",(4) 以上皆是
(4),17,解決業餘無線電干擾有線電視的第一步是什麼?,(1) 在電視天線輸入端添加一個低通濾波器,(2) 在電視天線輸入端添加一個高通濾波器,(3) 將前置放大器添加到電視天線輸入,(4) 確保正確安裝所有電視同軸連接器
(3),18,使用以下哪種方法來定位雜訊干擾或人為干擾源?,(1) 迴聲定位,(2) 杜卜勒雷達,(3) 無線電測向,(4) 鎖相
