(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(4),1,電流的度量單位是什麼?,(1) 伏特,(2) 瓦特,(3) 歐姆,(4) 安培
(2),2,電功率的度量單位是什麼?,(1) 伏特,(2) 瓦特,(3) 歐姆,(4) 安培
(4),3,在電路中電子流動的名稱為何者?,(1) 電壓,(2) 電阻,(3) 電容,(4) 電流
(2),4,電流的流動只有單一方向稱為何者?,(1) 交流電,(2) 直流電,(3) 正常電流,(4) 平穩電流
(1),5,造成電子流動的電動勢(Electromotive Force)的電氣術語稱為何者?,(1) 電壓,(2) 安培小時,(3) 電容,(4) 電感
(1),6,行動收發機通常需要用多少電壓?,(1) 大約12 伏特,(2) 大約30 伏特,(3) 大約120 伏特,(4) 大約240 伏特
(3),7,下列何者為良好導體?,(1) 玻璃,(2) 木頭,(3) 銅,(4) 橡膠
(2),8,下列何者為良好絕緣體?,(1) 銅,(2) 玻璃,(3) 鋁,(4) 水銀
(1),9,規律變換方向的電流的名稱是什麼?,(1) 交流電流,(2) 直流電流,(3) 環型電流,(4) 垂直電流
(3),10,以下哪一項描述電能的使用比率?,(1) 電阻,(2) 電流,(3) 電功率,(4) 電壓
(1),11,電動勢(Electromotive Force)的基本單位為何?,(1) 伏特,(2) 瓦特,(3) 安培,(4) 歐姆
(4),12,交流電每秒改變流動方向的次數稱為何者?,(1) 脈衝率,(2) 速度,(3) 波長,(4) 頻率
(3),13,1.5安培等於多少毫安培(毫安)?,(1) 15 毫安,(2) 150 毫安,(3) 1500 毫安,(4) 15000 毫安
(1),14,"1,500,000赫無線電信號頻率也可以稱為何者?",(1) 1500 千赫,(2) 1500 百萬赫,(3) 15 吉赫,(4) 150 千赫
(3),15,1kV等於多少伏特?,(1) 一千分之一 伏特,(2) 一百 伏特,(3) 一千 伏特,(4) 一百萬 伏特
(1),16,1μV等於多少伏特?,(1) 一百萬分之一 伏特,(2) 一百萬 伏特,(3) 一萬 伏特,(4) 一千分之一 伏特
(2),17,500mW(毫瓦特)等於多少瓦特?,(1) 0.02 瓦特,(2) 0.5 瓦特,(3) 5 瓦特,(4) 50 瓦特
(3),18,"使用以安培為單位的經校正安培表測量3,000毫安(毫安培)電流,其讀數會顯示多少?",(1) 0.003 安培,(2) 0.3 安培,(3) 3 安培,"(4) 3,000,000 安培"
(3),19,"使用以百萬赫為單位校正的頻率讀值為3.525百萬赫,如果以千赫為單位校正的頻率讀值為何?",(1) 0.003525 千赫,(2) 35.25 千赫,(3) 3525 千赫,"(4) 3,525,000 千赫"
(2),20,"1,000,000pF(皮法拉)等於多少 μF(微法拉)?",(1) 0.001 μF,(2) 1 μF,"(3) 1,000 μF","(4) 1,000,000,000 μF"
(2),21,電功率由5瓦特增加至10瓦特的分貝值(dB)大約改變多少?,(1) 2 dB,(2) 3 dB,(3) 5 dB,(4) 10 dB
(3),22,電功率由12瓦特減少至3瓦特的分貝值(dB)大約改變多少?,(1) -1 dB,(2) -3 dB,(3) -6 dB,(4) -9 dB
(1),23,電功率由20瓦特增加至200瓦特的分貝值(dB)大約改變多少?,(1) 10 dB,(2) 12 dB,(3) 18 dB,(4) 28 dB
(1),24,"下列何者與28,400千赫相等?",(1) 28.400 百萬赫,(2) 2.800 百萬赫,(3) 284.00 百萬赫,(4) 28.400 千赫
(3),25,"頻率讀數顯示2,425百萬赫等於多少吉赫?",(1) 0.002425 吉赫,(2) 24.25 吉赫,(3) 2.425 吉赫,"(4) 2,425 吉赫"
(4),26,在電場儲存能量的能力稱做什麼?,(1) 電感,(2) 電阻,(3) 容許度,(4) 電容
(1),27,下列何者為電容的基本單位?,(1) 法拉,(2) 歐姆,(3) 伏特,(4) 亨利
(4),28,在磁場儲存能量的能力稱做什麼?,(1) 導納,(2) 電容,(3) 電阻,(4) 電感
(3),29,下列何者為電感的基本單位?,(1) 庫倫,(2) 法拉,(3) 亨利,(4) 歐姆
(1),30,下列何者為頻率的基本單位?,(1) 赫茲,(2) 亨利,(3) 法拉,(4) 特斯拉
(1),31,縮寫RF是代表什麼?,(1) 各種射頻信號,(2) 調諧電路的共振頻率,(3) 真實發射頻率而不是外觀頻率,(4) 天線傳輸線中的反射力
(3),32,"經由空間傳播的電磁波,通稱為何?",(1) 重力波,(2) 音波,(3) 無線電波,(4) 壓力波
(1),33,計算直流電路的電功率是用哪個公式?,(1) 電功率(P)=電壓(E)乘以電流(I),(2) 電功率(P)=電壓(E)除以電流(I),(3) 電功率(P)=電壓(E)減電流(I),(4) 電功率(P)=電壓(E)加電流(I)
(1),34,"電路使用的電壓是直流13.8伏特(v),電流是10安培,則電功率是多少?",(1) 138 瓦特,(2) 0.7 瓦特,(3) 23.8 瓦特,(4) 3.8 瓦特
(2),35,"電路使用的電壓是直流12伏特(v),電流是2.5安培,則電功率是多少?",(1) 4.8 瓦特,(2) 30 瓦特,(3) 14.5 瓦特,(4) 0.208 瓦特
(2),36,"電路使用的電壓是直流12伏特(v),負載是120瓦特,則通過的電流是多少安培?",(1) 0.1 安培,(2) 10 安培,(3) 12 安培,(4) 132 安培
(1),37,術語「阻抗」一詞是什麼意思?,(1) 衡量電路對交流電流的阻力,(2) 電阻的倒數,(3) 衡量元件的Q值或品質因數,(4) 衡量元件的電功率處理能力
(4),38,下列何者為阻抗的單位?,(1) 伏特,(2) 安培,(3) 庫倫,(4) 歐姆
(2),39,下列何者為計算電路電流的公式?,(1) 電流(I)=電壓(E)乘以電阻(R),(2) 電流(I)=電壓(E)除以電阻(R),(3) 電流(I)=電壓(E)加電阻(R),(4) 電流(I)=電壓(E)減電阻(R)
(1),40,下列何者為計算電路電壓的公式?,(1) 電壓(E)=電流(I)乘以電阻(R),(2) 電壓(E)=電流(I)除以電阻(R),(3) 電壓(E)=電流(I)加電阻(R),(4) 電壓(E)=電流(I)減電阻(R)
(2),41,下列何者為計算電路電阻的公式?,(1) 電阻(R)= 電壓(E) 乘以電流(I),(2) 電阻(R)= 電壓(E) 除以電流(I),(3) 電阻(R)= 電壓(E) 加電流(I),(4) 電阻(R)= 電壓(E) 減電流(I)
(2),42,"電阻器接上90伏特時有3安培電流通過,則電路電阻多大?",(1) 3 歐姆,(2) 30 歐姆,(3) 93 歐姆,(4) 270 歐姆
(3),43,"電路接上12伏特時有1.5安培電流通過,則其電阻多大?",(1) 18 歐姆,(2) 0.125 歐姆,(3) 8 歐姆,(4) 13.5 歐姆
