(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(3),1,下列敘述何者為NCC業餘無線電法規規範的目的?,(1) 儘可能給最多的公民提供個人無線電通訊,(2) 提供國際非營利組織的通訊,(3) 提昇無線電的通訊與技術,(4) 以上皆是
(3),2,在我國是哪一個機關負責業餘無線電法規?,(1) 內政部,(2) 國際電信聯盟,(3) 國家通訊傳播委員會,(4) 國防部
(4),3,NCC 的法規內哪一部分包含了業餘無線電操作?,(1) 電信管理法,(2) 實驗研發專用電信網路設置使用管理辦法,(3) 專用電信網路設置使用管理辦法,(4) 業餘無線電人員及電臺管理辦法
(1),4,下述何者為NCC業餘無線電法規規範的目的?,(1) 促進國際交流,(2) 提供我國救災單位廉價的通訊,(3) 訓練軍事電臺操作人員,(4) 以上皆是
(2),5,下列何者會針對中繼電臺的收發頻道跟其他數據提出建議?,(1) 頻譜管理員,(2) 頻率協調員,(3) 國家通訊傳播委員會地區監理處,(4) 國際電信聯盟
(3),6,誰來遴選頻率協調員?,(1) 國家通訊傳播委員會射頻與資源管理處,(2) 全國獨立頻率協調員理事會辦公室地方分會,(3) 其電臺有資格作為中繼電臺的本地或地區的業餘無線電人員,(4) 國家通訊傳播委員會地區監理處
(1),7,下列何者為NCC業餘無線人員及電臺管理辦法定義的業餘無線電臺?,(1) 在業餘無線電組成傳送無線電通信的設備的電臺,(2) 安裝業餘無線電的接收機、發射機及功率放大器的建築物,(3) 由非專業人員操作的任何無線電電臺,(4) 供娛樂用的任何無線電電臺
(4),8,下列何者是操作業餘無線電中被允許的?,(1) 向朋友傳送音樂及影像,(2) 利用業餘無線電間傳送訊息的途徑收取外快,(3) 提供低價位的傳播來創業,"(4) 讓業餘無線電人員可以進行無線電的試驗,並與全世界的業餘無線電人員交流。"
(2),9,什麼是國際電信聯盟(ITU)?,(1) 美國電信部門的一個機構,(2) 聯合國的負責相關訊息及通訊技術事務的機構,(3) 獨立的頻率協調機構,(4) NCC的一個部門
(2),10,哪一個頻率是在6公尺波段內的?,(1) 49.0 百萬赫,(2) 50.05 百萬赫,(3) 28.50 百萬赫,(4) 222.15 百萬赫
(1),11,"當你利用145.52 百萬赫發送時,你是使用哪一個業餘波段?",(1) 2 公尺,(2) 20 公尺,(3) 14 公尺,(4) 6 公尺
(3),12,3等業餘無線臺執照可操作70公分波段的哪一頻率?,(1) 50.05 百萬赫,(2) 145.520 百萬赫,(3) 439.350 百萬赫,(4) 144.520 百萬赫
(2),13,3等業餘無線臺執照可操作於2公尺波段的哪一頻率?,(1) 50.05 百萬赫,(2) 145.52 百萬赫,(3) 439.35 百萬赫,(4) 436.52 百萬赫
(4),14,"如果你在50.1百萬赫上發送,請問你是操作於哪一業餘波段?",(1) 15 公尺,(2) 10 公尺,(3) 2 公尺,(4) 6 公尺
(1),15,"業餘無線電操作在70公分波段的某些部分是次要業務使用,理由為下列何者?","(1) 業餘無線電人員在這個波段也許會發現非業餘電臺,必須避免干擾他們",(2) 本國業餘電臺必需給予外國電臺優先權,(3) 國際通訊在70公分是不被允許的,(4) 數位傳輸在70公分是不被允許的
(4),16,為什麼不可把傳送頻率設定正好在業餘波段的邊緣?,(1) 允許在發射頻率顯示器校正誤差,(2) 調變後的頻率不會超過波段的邊緣,(3) 允許發射機頻率的偏移,(4) 以上皆是
(1),17,在30百萬赫以上的哪些波段提供3等業餘無線臺執照使用?,(1) 6公尺、2公尺、70公分,(2) 2公尺、13公分,(3) 6公尺、2公尺、1.25公尺,(4) 2公尺、70公分
(1),18,"在50.0-50.1 百萬赫及144.0-144.1 百萬赫的模式限定,允許作業的模式為何?",(1) CW,(2) CW跟RTTY,(3) SSB,(4) CW跟SSB
(2),19,下列何者為有效的我國電臺呼號?,(1) BA3505,(2) BV3ABC,(3) KDKA,(4) 11Q1176
(1),20,NCC核發的業餘電臺執照允許甚麼型式的國際通訊?,(1) 與業餘無線電服務及個人特色評論的相關通信,(2) 有商業行為或個人特質評論的相關通信,"(3) 比賽事項的相關通信,其他都禁止",(4) 國際廣播電臺允許的任何通信
(1),21,"在國外,甚麼時候可以操作業餘無線電臺?",(1) 當他國已授權時,(2) 當有雙方協議的第三方通訊時,(3) 當授權允許使用它國語言時,(4) 當你在國外與未取得執照的個人通信時
(1),22,下列何者為三等業餘無線電臺可選擇的呼號?,(1) BM2XXX,(2) KA1X,(3) W1XX,(4) 以上皆是
(3),23,NCC所核發的業餘無線電人員執照有效期限為何?,(1) 5年,(2) 終身,(3) 10年,(4) 20年
(1),24,下列何者是業餘無線電人員執照有效期屆滿前申請換照的期間?,(1) 六個月起五個月內,(2) 四個月起三個月內,(3) 二個月起一個月內,(4) 沒有規定
(3),25,"請問當你通過了業餘無線電測試,何時可以開始在業餘頻道上操作自己的機器?",(1) 立刻,(2) 考試過後30天,(3) 取得NCC核發給你業餘無線電人員執照及電臺執照,(4) 要等到你收到NCC的執照
(1),26,"當你發現執照已過期,可以繼續在業餘無線電頻道上操作嗎?",(1) 不行,"(2) 可以,但是你的呼號末尾是GP","(3) 可以,但是必須在授權的網絡",(4) 可以繼續操作兩年
(4),27,"在自選呼號規定之下,誰可以選擇所要的呼號?",(1) 只有擁有一等或二等業餘電臺執照者,(2) 只有一等業餘電臺執照者,(3) 擁有業餘電臺執照已有連續十年以上者,(4) 臨時電臺
(4),28,目前我國業餘電人員執照的等級為何?,(1) 一等、二等、三等、四等,(2) 一等、三等、四等,(3) 一等、二等、四等,(4) 一等、二等、三等
(3),29,何時業餘電臺允許傳輸隱藏信息意義的編碼或密碼?,(1) 只在比賽期間,(2) 只有在操作行動電臺時,(3) 只有經NCC核准時,"(4) 只有在使用1,280 百萬赫以上的頻率時"
(1),30,業餘電臺授權傳輸音樂的唯一時間是什麼時候?,(1) 當與載人太空船通信的授權轉傳有關時,(2) 音樂不產生混附發射時,(3) 為干擾非法傳輸目的時,"(4) 在1,280百萬赫以上傳輸音樂時"
(1),31,"業餘無線電人員何時可以通知其他業餘無線電人員,他們的電臺設備要出售或交易?","(1) 在業餘電臺正常使用的設備,並且此類活動不是定期進行的",(2) 當要價是新臺幣3000元或更低時,(3) 當要價低於其評估價值時,(4) 當設備不是執照所有人、控制人員或其近親的個人財產時
(2),32,有關被視為傳送不雅或淫穢的語言的限制是什麼?,(1) 美國聯邦通信委員會保留一份不允許在業餘頻率上使用的字詞列表,(2) 禁止任何此類語言,(3) 國際電聯保留一份不允許用於業餘頻率的字詞列表,(4) 沒有這種禁止
(2),33,哪些類型的業餘電臺可以自動轉發其他業餘電臺的信號?,(1) 輔助電臺或地球電臺,(2) 中繼電臺或太空電臺,(3) 信標電臺、中繼電臺或太空電臺,(4) 地球電臺、中繼電臺或太空電臺
(1),34,"假設沒有其他方法可用,下列哪些情況下,業餘電臺可以被授權傳輸有關廣播、節目製作或新聞採訪的信號?",(1) 直接涉及人類生命或財產保護的情況下,(2) 只有在與太空梭間進行廣播通信的情況下,(3) 僅在非商業節目收集並專供國家公共廣播網路使用時,(4) 只有在使用連接到網際網路的業餘中繼電臺時
(4),35,業餘無線電中“廣播”一詞的含義是什麼?,(1) 業餘電臺的雙向傳輸,(2) 音樂的傳播,(3) 只傳輸給業餘同好的消息,(4) 用於公眾接收的傳輸
(2),36,業餘無線電臺可以在下列哪些情況下進行廣播?,(1) 在任何情況下,(2) 傳送編碼案例、公告信息或提供緊急通信所需的傳輸,(3) 任何時候只要沒有音樂傳輸,(4) 任何時候只要傳送的資料不是來自商業廣播電臺
(4),37,何時允許業餘電臺在沒有控制員的情況下進行傳輸?,"(1) 使用自動控制時,例如在中繼電臺的情況下","(2) 當電臺執照持有人離開時,另一個有業餘無線電人員正在使用該電臺",(3) 當發射電臺是示標電臺時,(4) 從來都不行
(4),38,誰可以指定一個電臺的執照持有人為業餘電臺的控制員?,(1) 任何我國公民或有居留的外國人,(2) 電臺執照持有人的任何家庭成員,(3) 18歲以上的任何人,(4) NCC核發業餘無線電臺執照持有人或獲得外國人互惠授權的人
(1),39,誰必須指定電臺控制員?,(1) 電臺執照持有人,(2) 國防部,(3) 頻率協調員,(4) 國際電聯會
(4),40,什麼決定了業餘電臺的頻率傳輸優先權?,(1) 頻率協調員授權的頻率,(2) 電臺執照持有人持有的業餘無線電人員執照等級,(3) 處所內任何人持有的最高級別的業餘無線電人員執照,(4) 由控制員持有的業餘無線電人員執照等級
(3),41,什麼是業餘電臺控制點?,(1) 電臺發射天線的地點,(2) 電臺發射設備的地點,(3) 控制員執行控制作業任務的地點,(4) 電臺執照持有人的郵寄地址
(1),42,APRS網路數位中繼站在什麼類型的控制下運行?,(1) 自動,(2) 遠程,(3) 即席,(4) 手動
(4),43,"當控制員不是電臺執照持有人時,誰負責電臺的正常操作?",(1) 所有持有執照的業餘無線電人員,(2) 只有電臺執照持有人,(3) 只有控制員,(4) 控制員和電臺執照持有人負有同等責任
(1),44,以下哪個是自動控制的例子?,(1) 中繼電臺操作,(2) 透過網際網路控制電臺,(3) 使用電腦或其他設備自動發送CW,(4) 使用電腦或其他設備自動識別
(4),45,"當控制員在控制點時,屬於使用什麼類型的控制?",(1) 無線電控制,(2) 無人值守的控制,(3) 自動控制,(4) 即席控制
(2),46,以下哪一項是業餘無線電人員及電臺管理辦法的遙控控制作業案例?,(1) 中繼電臺操作,(2) 通過網際網路操作電臺,(3) 通過業餘無線電控制模型飛機、船隻或汽車,(4) 以上皆是
(4),47,"除非在電臺紀錄文件中有記錄,否則NCC會假定誰是業餘電臺的控制員?",(1) 電臺管理者,(2) 第三方參與者,(3) 操作電臺設備的人,(4) 電臺執照持有人
(1),48,"在正常情況下, 三等業餘無線人員何時可做為一等業餘電臺的控制員?",(1) 在任何時候都不行,(2) 操作特殊活動電臺時,(3) 作為多人操作比賽隊伍的一部分,(4) 使用其受託人是額外等級操作的俱樂部電臺時
(3),49,"在社群服務網路操作期間使用諸如“競賽總部”這樣的戰術標識符時,您的電臺多久必須發送該電臺的NCC指定呼號?","(1) 從來沒有,戰術呼號已足夠",(2) 每隔1小時1次,(3) 每次通信結束時和通信過程中每隔10分鐘,(4) 在每次傳輸結束時
(4),50,什麼時候業餘電臺需要發送被指配的呼號?,"(1) 在每次聯繫開始時,以及此後每隔15分鐘",(2) 每次傳輸至少1次,(3) 通信中至少每隔15分鐘和通信結束時,(4) 通信中至少每隔10分鐘和通信結束時
(3),51,"在電話頻段操作時,以下哪一種語言可適合用於電臺識別?",(1) 聯合國承認的任何語言,(2) 國際電聯會承認的任何語言,(3) 英語,"(4) 英文,法文或西班牙文"
(2),52,傳輸電話信號的電臺需要哪種呼號識別方法?,"(1) 傳送呼號,然後是指示符RPT",(2) 使用CW或電話發射傳送呼號,"(3) 發送呼號,然後是指示符R",(4) 僅使用電話發射傳送呼號
(4),53,"使用電話傳輸識別時,以下哪種格式的自分配指示符是可以接受的?",(1) KL7CC-W3,(2) KL7CC\W3,(3) KL7CC/W3,(4) 以上皆是
(3),54,什麼類型的業餘電臺同時在不同的頻道上重送另一個業餘電臺的信號?,(1) 示標電臺,(2) 地球電臺,(3) 中繼電臺,(4) 信息轉發電臺
