(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(2),1,用歐姆表測量電路中的電阻時，應採取以下哪些措施？,(1) 確定提供的電壓是正確的,(2) 確定電路是沒有供電的狀況,(3) 確定電路有接地,(4) 確定電路工作是在正確的頻率
(2),2,用電壓表測量高電壓時，應採取以下哪一項措施？,(1) 確定電壓表具有非常低的阻抗,(2) 確定電壓表和測量線材是在額定電壓規格下使用,(3) 確定電路經由電壓表接地,(4) 確定電壓是設定在正確的頻率
(2),3,以下哪項是 12 伏特蓄電池的安全隱憂？,(1) 用手觸摸外殼可能會導致電擊,(2) 端子短路會導致灼傷、起火或爆炸,(3) 電池的射頻發射,(4) 以上皆是
(4),4,流經身體的電流是如何造成傷害？,(1) 加熱身體組織,(2) 破壞細胞的功能,(3) 導致不自主的肌肉收縮,(4) 以上皆是
(3),5,連接到三孔交流插頭中的綠線是什麼？,(1) 中性線,(2) 火線,(3) 接地線,(4) 白線
(2),6,電路中保險絲的用途是什麼？,(1) 防止電源雜訊損壞電路,(2) 在過載情況下中斷電源,(3) 限制負載消耗的功率,(4) 提高電路效率
(1),7,為了安全起見，保險絲應該連接在電源的哪一側？,(1) 火線,(2) 中性線,(3) 接地線,(4) 任何一側都可以
(3),8,當有人因觸電無法脫離電源時，首要採取的行動為何？,(1) 立即用手將其拉開,(2) 潑水降溫,(3) 關閉總電源或用絕緣體將其撥開,(4) 報警等待
(2),9,安裝天線時，應與電力線保持多少安全距離？,(1) 1 公尺,(2) 至少應大於天線及支撐架倒下時能觸及電力線的距離,(3) 只要不碰到就好,(4) 沒有規定
(1),10,雷擊防護中，避雷針的主要作用是？,(1) 將閃電電流安全導入大地,(2) 阻止閃電發生,(3) 增加訊號強度,(4) 儲存閃電能量
(4),11,在雷雨天從事無線電通訊，最安全的作法是？,(1) 使用最高功率,(2) 換成手持對講機,(3) 站在大樹下,(4) 停止通訊並將天線饋線與設備斷開並接地
(3),12,關於射頻 (RF) 能量對人體的影響，下列敘述何者正確？,(1) RF 能量是游離輻射,(2) 只有高壓電才會影響,(3) 高強度的 RF 能量會使身體組織過熱,(4) 完全沒有影響
(2),13,為了減少對鄰居的電磁干擾與健康疑慮，天線應安裝在？,(1) 鄰居窗戶旁,(2) 遠離他人經常活動的開闊高處,(3) 客廳內,(4) 地下室
(1),14,在修理無線電設備內部電路前，應先？,(1) 拔掉電源並將高壓電容器放電,(2) 喝杯咖啡,(3) 調整音量,(4) 戴上耳機
(4),15,使用手持對講機通訊時，應避免？,(1) 報呼號,(2) 用中文溝通,(3) 在室外使用,(4) 天線太靠近眼睛或大腦，且長時間高功率發射
(2),16,若發現電源線外皮破損、銅線外露，應？,(1) 用紙帶包起來,(2) 立即更換或用合格絕緣膠帶妥善修復,(3) 繼續使用,(4) 噴水降溫
(3),17,接地線應使用何種導線以減少阻抗？,(1) 細鐵絲,(2) 漆包線,(3) 粗銅線或編織銅帶,(4) 塑膠繩
(1),18,下列何者是預防射頻灼傷 (RF Burn) 的方法？,(1) 避免在發射時觸碰天線或裸露的饋線,(2) 穿厚衣服,(3) 戴太陽眼鏡,(4) 縮短天線
(4),19,在塔架（天線塔）上作業時，必須？,(1) 穿拖鞋,(2) 單手工作,(3) 閉上眼睛,(4) 佩戴安全帶並確保下方地面安全
(2),20,行動式電台（車台）安裝時，電源線應加裝保險絲並儘可能靠近？,(1) 無線電機,(2) 電池端,(3) 輪胎,(4) 方向盤
(3),21,若發生電氣火災，應使用何種滅火器？,(1) 水,(2) 泡沫滅火器,(3) 乾粉或二氧化碳滅火器,(4) 濕抹布
(3),22,為什麼要避免將天線安裝到電線桿？,(1) 由於感應電壓，天線不能正常工作,(2) 公用事業公司將向您收取額外的月費,(3) 天線會接觸到高壓電線,(4) 以上皆是
(3),23,關於防雷所使用的接地導體，以下哪項是正確的？,(1) 只能使用非絕緣電線,(2) 必須用精確的直角彎曲的導線小心地佈線,(3) 導線避免過大的彎曲,(4) 必須避免共用接地
(3),24,為防護雷擊在鐵塔安裝地線時，以下哪項是最佳做法？,(1) 在接地連接處安裝一個迴路，以防止水對地面系統造成損害,(2) 確保地線中的所有彎頭都是乾淨的、直角彎曲,(3) 確保接地線連接短而直接,(4) 以上皆是
(4),25,VHF 和 UHF 無線電信號是什麼類型的輻射？,(1) 伽瑪輻射,(2) 游離輻射,(3) 阿爾法輻射,(4) 非游離輻射
(2),26,以下哪個頻率具有最大允許暴露限值的最低值？,(1) 3.5 百萬赫,(2) 50 百萬赫,(3) 440 百萬赫,(4) 1296 百萬赫
